s_no_,state,name_of_monument_site,locality_district
185,Uttar Pradesh,Excavated sites,"Kankali Tila, Mathura"
186,Uttar Pradesh,Kota Mound,Mathura
187,Uttar Pradesh,"Gate way & Sarai, Ekdil",Etawah
188,Uttar Pradesh,Mosque and Sarai,"Khudagunj, Farrukhabad"
189,Uttar Pradesh,Mound known as old fort of Kannauj,Kannauj
190,Uttar Pradesh,"Mound known as Lakha Mandap, Barnawa","Baraut, Bagpat, Distt. Baghpat"
191,Uttar Pradesh,Khanquah Fatehpur Sikri,Agra
192,Uttar Pradesh,"Khatia Khana, Fatehpur Sikri",Agra
193,Uttar Pradesh,Fort wall near Lal Darwaza Fatehpur Sikri,Agra
194,Uttar Pradesh,Jagner Fort,Agra
195,Uttar Pradesh,"Fortified Sarai with all its walls and gateways, Kosi",Mathura
196,Uttar Pradesh,"Khera ki Bandi, Old Cemetery","Lodhipur, Saharanpur"
197,Uttar Pradesh,Small high mound at Bara,Allahabad
198,Uttar Pradesh,Ruined fort of Samudra-Gupta and Hansagupta at Jhunsi,Allahabad
199,Uttar Pradesh,Tomb of Solar Saifud-din,Bahraich
200,Uttar Pradesh,Tomb of Rajab Salar Alias Hatila Salar,Bahraich
201,Uttar Pradesh,Jama Masjid,Banda
202,Uttar Pradesh,Monuments in memory of General White lock's force,Banda
203,Uttar Pradesh,Extensive brick strewn mound at Asothar,Fatehpur
204,Uttar Pradesh,Bagh Badshahi at Khajuha,Fatehpur
205,Uttar Pradesh,Hathikhana mosque or Jaichnadi mosque at Hathgaon,Fatehpur
206,Uttar Pradesh,"Circular mound, the site of a temple at Khairai",Fatehpur
207,Uttar Pradesh,Tikhariya extensive mound & a group of Hindu sculptures,Fatehpur
208,Uttar Pradesh,Kurari Four temple,Fatehpur
209,Uttar Pradesh,Square sand stone pillar bearing an inscription Mahipal Deva Samrat dated 974 in the Municipal Garden attached to the town hall,Fatehpur
210,Uttar Pradesh,Tomb of Bahu Begum,Faizabad
211,Uttar Pradesh,Tomb of Shuja-ud-Daula (Gulab Bari),Faizabad
212,Uttar Pradesh,Tomb of Hazi Iqbal,Faizabad
213,Uttar Pradesh,Tomb of Nawab Sadar Jahan at Pihani,Hardoi
214,Uttar Pradesh,Memorial Tomb at Khasaura,Hardoi
215,Uttar Pradesh,"Gandwa, Brick mound locally called banker garh",Hardoi
216,Uttar Pradesh,Jain temple mounds at Sumerpur,Hamirpur
217,Uttar Pradesh,"Panch Mahal complex, Jhansi Fort",Jhansi
218,Uttar Pradesh,Mound at Bithur,Kanpur City
219,Uttar Pradesh,Memorial well Garden,Kanpur City
220,Uttar Pradesh,Subedar Ka Talab,Kanpur City
221,Uttar Pradesh,"Three images and a Gupta Pillar in the compound of a temple at Behta, Ghatampur",Kanpur Dehat
222,Uttar Pradesh,Bundela temple at Banpur,Lalitpur
223,Uttar Pradesh,Jain temple at Banpur,Lalitpur
224,Uttar Pradesh,Large temple in front of Panch Marhia Madanpur,Lalitpur
225,Uttar Pradesh,Jain temple and a Torana or gateway at Siron Khurd,Lalitpur
226,Uttar Pradesh,Cemetery Kaiser Pasand near Kaiserbagh Bus Stand,Lucknow
227,Uttar Pradesh,Kalan-ki-Lat at Amindabad,Lucknow
228,Uttar Pradesh,British Cemetery at Chiria Jheel at Sapru Marg,Lucknow
229,Uttar Pradesh,NA,Lucknow
230,Uttar Pradesh,Tomb of janab-e-Aliya,Lucknow
231,Uttar Pradesh,Bara Imambare (Asaf-ud-Daula's Imambara),Lucknow
232,Uttar Pradesh,Asafi Masjid,Lucknow
233,Uttar Pradesh,Maqbara Shahnajaf or Tomb of Ghazi-ud-Din Haider,Lucknow
234,Uttar Pradesh,Rauza-e-Kazmain/Kazmain building,Lucknow
235,Uttar Pradesh,Picture gallery,Lucknow
236,Uttar Pradesh,Jama Masjid at Hussainabad,Lucknow
237,Uttar Pradesh,Chhota Imambara/tomb of Mahammad Ali Shah,Lucknow
238,Uttar Pradesh,Tahsin Ali Masjid,Lucknow
239,Uttar Pradesh,Amjad Ali Shah's Mausoleum,Lucknow
240,Uttar Pradesh,Sher Darawaza/Neil's Gate,Lucknow
241,Uttar Pradesh,Kaisarbagh Gate,Lucknow
242,Uttar Pradesh,General Wali Kothi,Lucknow
243,Uttar Pradesh,Karbala Talkatora,Lucknow
244,Uttar Pradesh,Dargah Hazarat Abbas,Lucknow
245,Uttar Pradesh,Dianut-Daula Karbala,Lucknow
246,Uttar Pradesh,Malka Jahan Karbala,Lucknow
247,Uttar Pradesh,"Nasir-ud-din Haider's Karbala, Daliganj",Lucknow
248,Uttar Pradesh,Nagram mound,Lucknow
249,Uttar Pradesh,Paharnagar Tikuria mound,Lucknow
250,Uttar Pradesh,Sikehawali Kothi,Lucknow
251,Uttar Pradesh,Jama Masjid,Mahoba
252,Uttar Pradesh,Lake of Kirat Sagar,Mahoba
253,Uttar Pradesh,Lake of Madan Sagar,Mahoba
254,Uttar Pradesh,Lake of  Vijay Sagar,Mahoba
255,Uttar Pradesh,A flat roofed temple at Urvara,Mahoba
256,Uttar Pradesh,Large tank at Pathari Kadin,Mahoba
257,Uttar Pradesh,Isauli Mosque,Sultanpur
258,Uttar Pradesh,Large Dih called Majhangaon with brick towers on four comers,Sultanpur
259,Uttar Pradesh,Mound known at Kutti Satruhan Das,Sravasti
260,Uttar Pradesh,"Small round shaped mound, Tandwa",Sravasti
261,Uttar Pradesh,Tomb of Qurban Mohammed at Banger Mau,Unnao
262,Uttar Pradesh,Old Nawabi Mosque,Ambedkar Nagar
263,Uttar Pradesh,"Stone Observatory, Man Mahal","Varanasi, District- Varanasi"
264,Uttar Pradesh,Dharahra Masjid,"Dharahra, District- Varanasi"
265,Uttar Pradesh,Remains of fine massive brick fort,"Chandravati, District- Varanasi"
266,Uttar Pradesh,A large mound of brick ruins,"Dhanapur, District- Chandauli"
267,Uttar Pradesh,Tomb of Abhiman,"Mehnagar, District- Azamgarh"
268,Uttar Pradesh,Atala Masjid,Jaunpur
269,Uttar Pradesh,Jama Masjid,Jaunpur
270,Uttar Pradesh,Lal Masjid (Lal Darwaza),Jaunpur
271,Uttar Pradesh,Ancient mound,"Fazil Nagar, Dist. Kushinagar."
272,Uttar Pradesh,"Mound of brick ruins called Asmanpur Dih, Chetiaon",Dist. Kushinagar
273,Uttar Pradesh,Large flat topped mound of ruins called Dharmatiya,"Chetiaon, Dist. Kushinagar"
274,Uttar Pradesh,Ancient mound of ruins,"Kakandi-Nagar, Dist.- Deoria."
275,Uttar Pradesh,Dih or mound apparently the remains of Buddhist stupa,"Tarkulwa, District - Deoria"
276,Uttar Pradesh,"High square shaped mound, Rudrapur",Dist.- Deoria.
277,Uttar Pradesh,Extensive mound,NA
278,West Bengal,Clive House,"Dum Dum, District 24 Parganas"
